frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,ip1,ip2,ip3,ip4,ip5,ip6,ip7,ip8,ip9,ip10,ip11,ip12,ip13,ip14,ip15,ip16,ip17,ip18,ip19,ip20,ip21,ip22,ip23,ip24,ip25,ip26,ip27,ip28,ip29,ip30,ip31,ip32,ip33,ip34
15,"Apr  9, 2019 20:56:21.949223385 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,104.73.138.159,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,"Apr  9, 2019 20:56:21.956874513 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,"Apr  9, 2019 20:56:21.959185707 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,"Apr  9, 2019 20:56:21.959683940 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,111.221.29.254,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,"Apr  9, 2019 20:56:21.985689904 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,103.229.10.162,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,"Apr  9, 2019 20:56:21.985734717 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,103.229.10.162,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,"Apr  9, 2019 20:56:21.988253067 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,103.229.10.162,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,"Apr  9, 2019 20:56:22.042765247 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,151.101.65.69,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,"Apr  9, 2019 20:56:22.081472085 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,111.221.29.254,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,"Apr  9, 2019 20:56:22.081543519 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,111.221.29.254,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
